timestamp,snufkin,crowdpleaser,Imperius,Chimney Sweep,Raul5448,crοwdpleaser,Number1,Wowee,4DogsOnAJog,crowdpIeaser,Deonnar,Silence,HelloKitty_UwU,Big Bad Wolf,Nigatoni,TvrdaBatina,Socco Riffredi
2026-04-10 01:29,3998893,2724859,2582142,2525647,2265432,2172056,2166852,2136449,2104937,2093338,705630,,,,,,
2026-04-10 01:30,4053967,2774998,2616755,2553875,2287484,2200139,2192719,2190875,2141203,2109213,714560,,,,,,
2026-04-10 01:31,4053967,2774998,2616755,2553875,2287484,2200139,2192719,2190875,2141203,2109213,714560,,,,,,
2026-04-10 01:31,4053967,2774998,2616755,2553875,2287484,2200139,2192719,2190875,2141203,2109213,714560,,,,,,
2026-04-11 20:00,6626516,4514818,4090478,4025206,3607629,3580338,3489713,3462616,3481064,,1165088,3395316,,,,,
2026-04-12 00:39,6972159,4717323,4276955,4169376,3718915,3790022,3663730,3616162,3652522,,1233886,3602627,,,,,
2026-04-12 01:27,6972159,4717323,4276955,4169376,3718915,3790022,3663730,3616162,3652522,,1248872,3602627,,,,,
2026-04-12 01:35,7035550,4750267,4309521,4169376,3718915,3829492,3696537,3661116,3675606,,1248872,3631938,,,,,
2026-04-12 09:12,7300596,5192121,4621358,4387212,4020484,3960067,3949464,3904179,3925580,,1278513,3853181,,,,,
2026-04-17 10:57,,7668574,,,,5202502,,4730007,5179292,,849502,5241879,5415124,4870291,4740809,4363871,4353173
