village_name,coord_x,coord_y,res_wood,res_clay,res_iron,res_crop,applied_template,group,is_capital
19. Vigántpetend,89,53,4,4,4,18,Base01,WW Feed,
22. Balatoncsicsó,78,50,4,4,4,18,Base01,WW Feed,
17. Taliándörögd,67,50,4,4,4,18,Base01,WW Feed,
23. Szentbékkálla,56,49,4,4,4,18,Base01,WW Feed,
00. Sülysáp,101,56,4,4,4,6,Base01,Anvils,
01. Tápiószecső,96,50,1,1,1,15,Hammer,Anvils,1
04. Alsóbélatelep,97,51,4,4,4,6,Base01,Anvils,
09. Alsómocsolád,95,50,4,4,4,6,Base01,Anvils,
10. Vácrátót,98,50,4,4,4,6,Base01,Anvils,
11. Felsoszölnök,,,4,4,4,6,,,
13. Nagykálló,88,49,4,4,4,6,,Anvils,
16. Kehidakustány,97,49,4,4,4,6,,Anvils,
02. Solymár,98,51,4,4,4,6,,Feeders,
03. Bátonyterenye,100,50,4,4,4,6,,Feeders,
05. Balmazújváros,97,52,4,4,4,6,,Feeders,
06. Kiskunmajsa,100,52,4,4,4,6,,Feeders,
07. Nagykanizsa,101,54,4,4,4,6,,Feeders,
08. Veresegyház,88,44,4,4,4,6,,Feeders,
12. Gyomaendrőd,97,53,4,4,4,6,,Feeders,
14. Homokbödöge,92,56,4,4,4,6,,Feeders,
15. Makkoshotyka,88,51,4,4,4,6,,Feeders,
18. Tarnazsadány,95,45,4,4,4,6,,Feeders,
20. Csanádapáca,130,61,4,4,4,6,,Feeders,
21. Felsőkörtvélyes,96,52,4,4,4,6,,Feeders,
